darija,eng,darija_ar
khayfa itra liya bhalha,I am afraid what happend to her will happen to me,خايفا إطرا لييا بحالها
chno ghaytra lik mazal ?,What's still going to happen to you,شنو غايطرا ليك مازال ?
khda liya flousi ohyati,He took my money and my life,خدا لييا فلوسي أُحياتي
koun 3raft ghi fach tayfakar,If only I knew what he was thinking,كون عرافت غي فاش تايفاكار
bghit nrkab tiyara,I want to get in the plane,بغيت نركاب طييارا
nmchi lblasa b3ida,Going somewhere far away,نمشي لبلاصا بعيدا
bghit nglas bohdi,I want to sit alone,بغيت نڭلاس بوحدي
3yit mn klam nas,I am tired of people,عييت من كلام ناس
kolchi kayhdar fd9a,All speak at once,كولشي كايهدار فدقا
ana hadchi ma3jbnich,I don't like this,أنا هادشي ماعجبنيش
kifach ghatkoun lhayat bohdak,How life will be alone,كيفاش غاتكون لحايات بوحداك
tawahad makayhdar bsaraha,No one is talking honestly,تاواهاد ماكايهدار بصاراحا
lkdoub tl3o liya frasi,I am sick with lies,لكدوب طلعو لييا فراسي
koun lgit nba3ad,If I could go far away,كون لڭيت نباعاد
drabha chhal mn mra,He hits her many times,درابها شحال من مرا
dban kayzanzan fwadniya,The flis are buzzing on my ears,دبان كايزانزان فوادنييا
3lach kayzanzan dban?,Why the flies are buzzing?,علاش كايزانزان دبان?
lkozina mrawna,The kitchen is disorganized,لكوزينا مراونا
mazal madart lghda,I did not prepare the lauch yet,مازال مادارت لغدا
aslan mafiya maydir chihaja,I do not have the mood to do anything,أصلا مافييا مايدير شيحاجة
3lach tgalsi bohdak ?,Why are you setting alone ?,علاش تڭالسي بوحداك ?
lhob kayn ghi flaflam,Love only exists in movies,الحب كاين غي فالافلام
ihtimam 9lil fach kathasi bih,It is rare when you feel interest,إهتمام قليل فاش كاتهاسي بيه
kay3jabni nsma3 lradio,I like listening to radio,كايعجابني نسماع لراديو
3lach katsam3i lradio ?,Why are you listening to radio ?,علاش كاتسامعي لراديو ?
kansma3 lih fsbah,I listen to it in the morning,كانسماع ليه فالصباح
kansma3 lih blil,I listen to it in the night,كانسماع ليه بالليل
kat3almi tsam3i mzyan,You learn how to listen well,كاتعالمي تسامعي مزيان
fih bzzef dlma3loumat,It contains lot of information,فيه بزّف دالمعلومات
kaydiro aghani mra mra,They make songs from time to time,كايديرو أغاني مرا مرا
kanbghi nghowat bjahd,I want to scream loud,كانبغي نغووات بجاهد
tsala liya saboun,The soap is finished,تسالا لييا سابون
ghanchri radio,I am going to buy a radio,غانشري راديو
fin chriti radio?,Where did you buy the radio ?,فين شريتي راديو?
bchhal chriti radio?,How much did you pay for the radio?,بشحال شريتي راديو?
had radio kbir bzzef,This radio is very big,هاد راديو كبير بزّف
had radio sghir bzzef,This radio is too small,هاد راديو صغير بزّف
bghit radio ly kaytcharja,I want a chargeable radio,بغيت راديو لي كايتشارجا
khsar liya radio dyali,My radio is damaged,خسار لييا راديو ديالي
3jabni had radio bzzef,I like this radio so much,عجابني هاد راديو بزّف
khasni radio ftomobil,I need a radio in my car,خاسني راديو فطوموبيل
khasni radio fdar,I need a radio in my house,خاسني راديو فدار
kansta3ml radio bzzef,I often use radio,كانستاعمل راديو بزّف
dima kanhalo nsma3 lih,I turn it on always to listen to it,ديما كانحالو نسماع ليه
lbka kayriyih,Crying make you feel relaxed,لبكا كايريييه
kay3jabni nglas bohdi onbkii,I like sitting down alone and cry ,كايعجابني نڭلاس بوحدي أُنبكيّ
kandam 3la ayihaja dartha,I regret everything I've done,كاندام علا أيي حاجة دارتها
kantsamah m3a rasi,I forgive myself,كانتساماح معا راسي
